<Covariate>							
<Trait>	Q1	Q2	Q3	Q4	Q1	Q2	Q3
5772	3.745915	4.2026396	3.7529402	-2.4181209	-0.03858222	-1.3987182	0.23657702
5800	0.8288102	-0.49020284	0.6263528	1.6649166	-1.4954191	-1.2808766	-1.26253
5837	13.108244	6.179376	-0.9943467	-1.6976665	1.5405793	0.36598867	-2.5159166
5860	-1.8304387	2.5172231	3.0077813	-0.5166173	-0.06094378	1.1125895	-1.2305021
5890	13.240044	3.0262332	-3.3000674	-0.7953092	-1.6599108	1.6033586	-3.812028
5893	7.217126	5.6195545	0.17786618	-3.3932593	-1.3622538	-0.50667447	-3.2809575
5907	2.7641203	5.293188	2.1787767	-3.9951522	-0.43939635	-0.8402554	-4.0015345
5921	9.109951	2.337811	0.5686222	-1.5138417	-1.9473598	1.549954	-2.1625078
5950	11.983934	6.17903	-2.584243	-2.2510173	0.16592936	0.17256574	-2.7935598
5984	12.48561	6.28563	-1.9878578	-1.0076535	-0.5187637	-0.36798203	-2.1281495
5993	12.636286	6.0206795	-1.4957443	-2.1464155	0.94092995	1.3655695	-2.979336
6009	7.1109023	-1.025786	3.6022062	1.7586312	1.6064186	3.3058777	3.3625622
6017	12.121216	-3.2602303	2.0737267	2.7308028	3.9992478	5.169582	5.279498
6019	2.8105614	2.1106489	2.8937805	0.45244214	-0.4228231	1.8649824	0.7421825
6020	0.11634304	-0.29033852	4.5875525	0.7480049	-1.6118114	1.8514104	0.96475995
6024	-0.7223245	-2.5663638	2.8424058	2.0507424	-3.3402212	4.226023	-0.19360432
6025	10.9276285	4.39454	-1.687667	-1.3779559	0.7278925	1.9074848	3.1581016
6035	11.73579	4.062454	2.6135278	0.18787916	1.671782	0.7440557	0.84832466
6038	7.436418	4.144628	0.24216911	1.3969886	1.0880554	0.03552628	-0.012901165
6041	-2.3087742	0.6147663	5.9818444	3.8708012	3.8863165	-0.16900131	2.4092355
6064	18.569988	4.4242525	0.4225465	3.83159	6.4446573	1.5865797	5.470482
6073	-4.5924864	-2.2016473	1.0169222	0.91444856	-1.9635576	4.744157	-0.15920918
6086	2.4903498	4.1182623	-4.031923	-1.7990357	-3.948872	2.097642	-0.16165386
6099	-3.0201638	-1.8872674	4.482804	-0.736892	-1.3136283	3.8744252	0.07471544
6106	-7.4063497	-1.494622	4.1988907	1.3726143	-2.4068258	3.4146032	0.08294636
6107	-1.4381722	-0.51636577	3.1495836	-0.7854575	-3.7132454	1.4873571	-0.21881333
6108	-3.8763292	3.3483605	2.9454439	-1.4272134	-2.3416743	-1.1983593	0.92463833
6111	1.7477317	-6.280216	2.3997881	-1.427182	-0.20371689	5.750827	1.666298
6133	-6.3060303	-1.5379605	3.8923995	2.271049	-3.2881355	3.0810325	0.070841886
6137	1.882281	2.0260243	1.1742002	1.2934738	-1.5494218	2.0418713	0.32151064
6138	-1.2946174	1.305556	3.9231915	1.0247692	-0.88647926	1.6315478	1.0349256
6140	7.0327716	1.7361256	0.056634154	1.8204823	-1.2655032	3.065348	-0.94952285
6145	4.343355	2.916705	1.3131444	0.41241768	-1.6792917	0.8314906	0.10139966
6148	0.42835128	2.5883503	3.5109391	-0.016133403	-0.5906673	0.06334843	0.105923325
6154	8.633717	4.261055	-1.5407884	-1.4926519	-0.13173231	1.3737897	2.8732698
6163	8.750609	1.2291714	0.2069387	0.16430728	-0.040232122	2.8839502	2.8791065
6166	9.823991	2.9086843	1.1851727	-0.20557734	1.3187674	1.7401193	4.0795116
6169	4.5991073	0.01997818	2.2982695	0.5001171	0.73874587	2.1573346	2.4118445
6174	6.3438134	-5.5560217	3.5960445	0.54378915	3.0343568	3.841848	4.6097846
6177	14.863395	3.0944855	-0.019837856	0.9523189	4.2193832	4.709614	3.6610143
6195	-1.6425016	-6.144565	0.013428714	-0.4884593	-1.1038176	4.6548343	-1.1350234
6198	-8.320498	0.86224204	3.4702365	1.3838142	-0.17653593	1.708583	0.014467051
6201	-5.120001	1.1413177	4.6286993	1.2458729	0.49755192	1.0975238	0.18681951
6203	-9.645733	-1.8787113	6.2076774	2.2302935	1.1421158	3.3118677	1.247536
6218	15.076754	3.9253616	-1.848953	1.001892	1.4659026	2.6539567	1.7076718
6220	13.631335	3.5615246	-2.5495987	2.6211495	4.824001	4.0933824	3.0662012
6241	13.468088	3.1970818	1.8310441	1.5347741	5.3708687	2.7198658	4.115098
6255	16.228329	0.4067384	0.23363546	0.24860047	3.7764509	4.2397113	3.190041
6268	17.542551	4.4974627	0.3660091	1.7018266	4.7878923	1.1156024	4.0033793
6284	3.3009698	-2.5506754	5.004868	0.07658943	-0.9005424	5.248172	0.34950393
630	0.32548308	-4.3142447	0.89017826	1.6306982	-2.4020395	0.071170755	-0.57712567
6390	9.657016	3.986563	2.2057521	-0.72830385	1.3298836	-0.5320978	-1.2573678
6434	-4.2504272	2.8321056	5.8705792	-2.6319675	1.695512	-2.5566797	-4.0082803
6445	9.356096	5.3383327	1.5438627	-2.9550145	1.4509085	0.2557607	-2.1578236
6680	-3.891279	1.7716792	4.4679337	0.083093464	-0.23494677	-0.34462473	0.8526024
6744	7.1946564	4.382571	-0.23819032	-1.9306097	-1.2523255	-3.2395108	2.524306
6830	-0.101312496	1.9275957	4.8780904	-1.189129	2.0435078	0.9325134	-4.3918543
6900	17.25048	-0.021066522	-0.7883683	3.5848465	4.346172	4.794839	4.3272033
6907	-1.0451313	1.9069327	6.175764	-1.0591131	1.2718496	-0.681822	-1.9588537
6917	-7.845529	-2.5409997	10.105441	3.9195895	4.0561805	1.7669517	3.3094132
6923	-1.5811367	3.566935	2.6328037	-4.348427	-3.8253567	-5.1274576	2.2565932
6943	-4.0202026	3.5344968	3.3771837	-1.5598352	-2.7308152	-2.9114983	2.1589708
6944	-2.056315	1.158825	4.4506717	-2.0222847	-2.9414923	-2.681846	3.2059443
6956	6.744592	-0.28184274	-0.18907401	-1.1033164	-2.2805798	3.1315644	-3.189013
6959	-9.529076	2.6356733	3.8829725	-0.66941434	-1.3738595	-2.2483969	0.99625796
6970	0.41571715	5.0125666	-4.0653915	-1.3604453	-1.1487291	0.12784056	-0.7785918
6971	0.5073904	7.6902423	-3.899379	-3.2416	-0.36913028	-1.3546351	-0.10664912
6974	-4.4061666	-7.194126	2.8389044	-0.38821396	-1.625306	4.9581122	0.1116204
6979	5.4935517	2.1755407	-0.54194075	-1.2167747	-3.036082	3.0139968	-1.6521019
6989	0.82106984	1.2199136	2.0985107	-0.39440057	-3.0553794	-0.4128509	2.5884655
6992	-1.1517372	4.290598	1.8681486	-2.9416	-1.9604237	-1.5303262	1.035422
7013	0.995013	3.1238678	4.5520153	-0.8566119	1.0508132	-0.6049567	-0.123667
7026	6.302803	-2.482971	4.0582685	-2.1590152	-2.144618	5.1820097	-1.1053603
7028	-6.131203	-7.310906	5.1686306	0.8073206	-0.051228613	4.8100924	0.029799214
7058	-5.008551	3.563902	-1.7726005	-1.4146268	-1.8302757	-1.1258059	2.4561396
7067	7.965615	4.3919597	2.4396334	-3.0847223	-1.4628339	-0.38855436	-0.9244433
7068	3.6113062	6.351733	-5.9625554	-2.1038146	-1.7670373	-0.3176422	-1.9250662
7094	-4.8271494	2.1417985	3.9353666	0.7424377	1.1588805	-0.7375228	0.8972693
7102	-13.452032	0.12111379	1.3418131	2.0740156	-0.97480744	0.6193545	-1.0683677
7103	8.518851	4.358757	1.5928829	-2.2872238	-0.45495957	0.98244005	-2.5447607
7106	5.4993196	2.6720552	1.2144531	-1.206482	-0.077701025	2.2755847	-1.9400903
7107	-2.6729221	0.0687033	3.2120082	-0.8551643	-3.1754289	-0.41890115	0.27419627
7119	-0.79817665	-1.0822523	2.9689841	-1.2894409	-1.7720084	4.143769	-0.30624512
7158	-4.2650156	-8.94078	-3.7349737	-4.859027	-4.471872	3.527602	-1.388062
7161	1.5849452	0.7046885	2.320606	0.072896704	-1.5003958	2.6022303	-0.67007434
7164	-11.406246	1.9535472	-2.203933	2.9701154	2.025824	1.9142842	3.3278172
7165	-8.010081	1.5569533	7.0155315	0.83127123	1.8619548	-1.0094572	2.3836155
7169	-2.924111	-0.7755551	3.147539	0.24093242	-1.7102427	2.1950824	0.38600364
