study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA236110	SAMN02594683	SRS541025	SRX445897	SRR1138746	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138746/SRR1138746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138746/SRR1138746_2.fastq.gz
PRJNA236110	SAMN02594683	SRS541025	SRX445897	SRR1138747	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138747/SRR1138747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138747/SRR1138747_2.fastq.gz
PRJNA236110	SAMN02594677	SRS541026	SRX445898	SRR1138748	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138748/SRR1138748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138748/SRR1138748_2.fastq.gz
PRJNA236110	SAMN02594676	SRS541027	SRX445899	SRR1138749	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138749/SRR1138749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138749/SRR1138749_2.fastq.gz
PRJNA236110	SAMN02594676	SRS541027	SRX445899	SRR1138750	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138750/SRR1138750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138750/SRR1138750_2.fastq.gz
PRJNA236110	SAMN02594760	SRS541028	SRX445900	SRR1138751	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138751/SRR1138751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138751/SRR1138751_2.fastq.gz
PRJNA236110	SAMN02594785	SRS541029	SRX445901	SRR1138752	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138752/SRR1138752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138752/SRR1138752_2.fastq.gz
PRJNA236110	SAMN02594781	SRS541030	SRX445902	SRR1138753	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138753/SRR1138753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138753/SRR1138753_2.fastq.gz
PRJNA236110	SAMN02594781	SRS541030	SRX445902	SRR1138754	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138754/SRR1138754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138754/SRR1138754_2.fastq.gz
PRJNA236110	SAMN02594765	SRS541032	SRX445903	SRR1138755	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138755/SRR1138755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138755/SRR1138755_2.fastq.gz
PRJNA236110	SAMN02594789	SRS541031	SRX445904	SRR1138756	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138756/SRR1138756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138756/SRR1138756_2.fastq.gz
